Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Almanya,44,830,5.3%,22.85
İsviçre,35,197,17.77%,8.36
Hollanda,12,295,4.07%,23.16
Danimarka,8,231,3.46%,22.1
Lüksemburg,4,31,12.9%,7.42
Türkiye,1,51,1.96%,60.88
Madagaskar,1,2,50%,6
Makedonya,1,1,100%,1
Fransa,0,69,0%,17.39
Amerika Birleşik Devletleri,0,50,0%,13.22
Avusturya,0,49,0%,34.37
İngiltere,0,41,0%,23.93
Belçika,0,41,0%,24.46
Hindistan,0,40,0%,56.52
Endonezya,0,32,0%,55.44
Filipinler,0,24,0%,64.5
İspanya,0,19,0%,53.84
Vietnam,0,19,0%,60.84
İsveç,0,15,0%,20.8
Bangladeş,0,15,0%,58.13
İtalya,0,14,0%,11
Ürdün,0,14,0%,73.5
Fas,0,14,0%,74.29
Malezya,0,13,0%,57.54
Rusya,0,13,0%,59.69
Tayland,0,9,0%,60.44
Ukrayna,0,8,0%,54.12
Güney Kore,0,8,0%,63.38
Birleşik Arap Emirlikleri,0,6,0%,5.83
Polonya,0,5,0%,22.4
Norveç,0,5,0%,24.4
Macaristan,0,5,0%,36.4
Brezilya,0,5,0%,44.8
Güney Afrika,0,5,0%,52.6
Arjantin,0,5,0%,64
Cezayir,0,5,0%,68
Avustralya,0,4,0%,18.5
Portekiz,0,4,0%,19
Kanada,0,4,0%,20
Romanya,0,4,0%,31.25
Meksika,0,4,0%,87.75
Sırpça,0,3,0%,7
Mısır,0,3,0%,32.67
Ekvador,0,3,0%,56
Güney Kıbrıs Rum Yönetimi,0,2,0%,3
Çin,0,2,0%,6
Yunanistan,0,2,0%,8.5
Estonya,0,2,0%,9
Katar,0,2,0%,10
Georgia,0,2,0%,37.5
Sri Lanka,0,2,0%,45
Kosova,0,2,0%,49.5
Nepal,0,2,0%,50.5
Colombia,0,2,0%,51.5
Etiyopya,0,2,0%,53.5
Pakistan,0,2,0%,58
Finlandiya,0,1,0%,3
Japonya,0,1,0%,4
Lübnan,0,1,0%,7
Bosna Hersek,0,1,0%,8
İsrail,0,1,0%,9
Kırgızistan,0,1,0%,10
Moldova,0,1,0%,10
Tunus,0,1,0%,10
Singapur,0,1,0%,11
Arnavutluk,0,1,0%,16
Hong Kong,0,1,0%,20
Belarus,0,1,0%,23
Barbados,0,1,0%,29
Venezuela,0,1,0%,37
Bulgaristan,0,1,0%,38
Peru,0,1,0%,41
Ruanda,0,1,0%,54
Litvanya,0,1,0%,56
Kongo - Kinşasa,0,1,0%,67
Guatemala,0,1,0%,71
Yemen,0,1,0%,74
Tayvan,0,1,0%,78
Kazakistan,0,1,0%,85
Suudi Arabistan,0,1,0%,97
Dominik Cumhuriyeti,0,1,0%,98
